order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,total_amount,status
O00001,C0193,P044,2024-03-07,1,160.62,0,160.62,processing
O00002,C0016,P008,2024-06-04,2,2304.66,0,4609.32,delivered
O00003,C0070,P027,2024-09-22,10,202.94,15,1724.99,processing
O00004,C0081,P014,2024-10-09,2,4450.74,0,8901.48,shipped
O00005,C0187,P041,2024-11-24,1,3567.68,0,3567.68,cancelled
O00006,C0049,P012,2024-11-05,3,1804.15,0,5412.45,cancelled
O00007,C0011,P002,2024-11-24,1,3948.93,10,3554.04,delivered
O00008,C0065,P043,2024-11-23,2,1028.86,0,2057.72,processing
O00009,C0166,P020,2024-06-03,2,1553.27,0,3106.54,processing
O00010,C0125,P021,2024-12-18,2,3458.12,0,6916.24,delivered
O00011,C0148,P036,2024-11-06,1,2471.25,0,2471.25,processing
O00012,C0099,P027,2024-03-07,10,202.94,10,1826.46,delivered
O00013,C0033,P024,2024-03-03,1,402.94,0,402.94,delivered
O00014,C0030,P004,2024-07-15,1,1682.61,15,1430.22,delivered
O00015,C0050,P024,2024-06-09,10,402.94,0,4029.4,delivered
O00016,C0156,P036,2024-06-06,2,2471.25,0,4942.5,delivered
O00017,C0122,P039,2024-05-03,2,1618.34,0,3236.68,delivered
O00018,C0014,P020,2024-11-30,2,1553.27,5,2951.21,delivered
O00019,C0003,P007,2024-05-15,2,4063.13,10,7313.63,shipped
O00020,C0113,P003,2024-10-18,2,3152.43,5,5989.62,delivered
O00021,C0091,P005,2024-08-18,1,4073.13,10,3665.82,delivered
O00022,C0189,P047,2024-02-19,1,3602.77,0,3602.77,shipped
O00023,C0105,P042,2024-03-14,10,3974.66,0,39746.6,delivered
O00024,C0153,P003,2024-03-11,1,3152.43,10,2837.19,processing
O00025,C0157,P036,2024-09-20,1,2471.25,0,2471.25,cancelled
O00026,C0099,P012,2024-11-11,1,1804.15,10,1623.74,delivered
O00027,C0105,P039,2024-09-29,5,1618.34,0,8091.7,delivered
O00028,C0146,P002,2024-12-10,1,3948.93,0,3948.93,delivered
O00029,C0096,P049,2024-08-30,1,3222.41,0,3222.41,shipped
O00030,C0176,P043,2024-01-27,1,1028.86,5,977.42,delivered
O00031,C0191,P047,2024-07-13,3,3602.77,0,10808.31,shipped
O00032,C0009,P043,2024-02-26,10,1028.86,0,10288.6,delivered
O00033,C0130,P011,2024-04-14,2,1288.96,0,2577.92,shipped
O00034,C0145,P004,2024-09-22,3,1682.61,0,5047.83,delivered
O00035,C0200,P037,2024-06-09,2,2276.64,20,3642.62,delivered
O00036,C0162,P026,2024-12-12,2,739.6,10,1331.28,shipped
O00037,C0194,P018,2024-04-08,2,3024.18,20,4838.69,delivered
O00038,C0094,P016,2024-06-01,10,2502.68,10,22524.12,shipped
O00039,C0150,P024,2024-10-13,2,402.94,15,685.0,shipped
O00040,C0088,P020,2024-12-12,1,1553.27,5,1475.61,processing
O00041,C0123,P027,2024-03-15,10,202.94,0,2029.4,delivered
O00042,C0025,P027,2024-12-01,10,202.94,0,2029.4,delivered
O00043,C0063,P041,2024-10-14,1,3567.68,5,3389.3,delivered
O00044,C0187,P044,2024-01-26,1,160.62,5,152.59,delivered
O00045,C0193,P016,2024-07-30,1,2502.68,0,2502.68,delivered
O00046,C0043,P001,2024-03-21,10,4905.76,0,49057.6,cancelled
O00047,C0146,P037,2024-05-27,3,2276.64,0,6829.92,shipped
O00048,C0027,P050,2024-09-30,2,1742.23,10,3136.01,processing
O00049,C0010,P013,2024-03-31,2,1679.66,15,2855.42,delivered
O00050,C0123,P038,2024-05-28,1,466.31,15,396.36,delivered
O00051,C0172,P045,2024-06-20,1,4024.19,0,4024.19,cancelled
O00052,C0166,P040,2024-03-09,2,2724.58,15,4631.79,delivered
O00053,C0061,P008,2024-08-22,1,2304.66,5,2189.43,shipped
O00054,C0004,P026,2024-10-17,3,739.6,5,2107.86,delivered
O00055,C0186,P049,2024-08-06,5,3222.41,5,15306.45,delivered
O00056,C0030,P013,2024-09-01,10,1679.66,0,16796.6,delivered
O00057,C0083,P030,2024-05-16,1,1878.9,20,1503.12,delivered
O00058,C0173,P001,2024-07-03,1,4905.76,5,4660.47,delivered
O00059,C0036,P036,2024-07-26,1,2471.25,5,2347.69,cancelled
O00060,C0097,P008,2024-05-31,2,2304.66,0,4609.32,delivered
O00061,C0042,P037,2024-11-06,1,2276.64,0,2276.64,shipped
O00062,C0145,P041,2024-04-21,5,3567.68,10,16054.56,shipped
O00063,C0181,P006,2024-09-27,2,2339.17,10,4210.51,delivered
O00064,C0171,P008,2024-10-07,1,2304.66,15,1958.96,delivered
O00065,C0163,P011,2024-09-23,1,1288.96,0,1288.96,shipped
O00066,C0177,P038,2024-09-18,1,466.31,0,466.31,delivered
O00067,C0041,P039,2024-10-15,2,1618.34,0,3236.68,delivered
O00068,C0096,P002,2024-01-02,1,3948.93,10,3554.04,delivered
O00069,C0013,P033,2024-02-02,1,2510.24,5,2384.73,delivered
O00070,C0021,P037,2024-07-28,1,2276.64,0,2276.64,delivered
O00071,C0194,P050,2024-07-10,10,1742.23,20,13937.84,delivered
O00072,C0118,P030,2024-12-04,1,1878.9,15,1597.07,delivered
O00073,C0108,P008,2024-10-02,1,2304.66,0,2304.66,delivered
O00074,C0070,P001,2024-06-01,3,4905.76,0,14717.28,shipped
O00075,C0131,P041,2024-04-27,1,3567.68,0,3567.68,delivered
O00076,C0088,P014,2024-02-27,10,4450.74,0,44507.4,shipped
O00077,C0187,P002,2024-02-04,1,3948.93,0,3948.93,delivered
O00078,C0182,P004,2024-01-23,1,1682.61,0,1682.61,delivered
O00079,C0067,P004,2024-05-28,1,1682.61,0,1682.61,processing
O00080,C0175,P024,2024-12-10,2,402.94,10,725.29,delivered
O00081,C0045,P040,2024-06-02,1,2724.58,0,2724.58,delivered
O00082,C0179,P013,2024-08-06,2,1679.66,5,3191.35,delivered
O00083,C0107,P050,2024-09-25,3,1742.23,0,5226.69,delivered
O00084,C0048,P021,2024-10-02,1,3458.12,0,3458.12,processing
O00085,C0094,P011,2024-01-30,5,1288.96,5,6122.56,cancelled
O00086,C0169,P040,2024-05-04,1,2724.58,0,2724.58,delivered
O00087,C0025,P034,2024-02-17,5,1331.02,5,6322.35,processing
