payment_id,order_id,amount,payment_method,payment_date,status
PAY00001,O00001,160.62,Credit Card,2024-03-08,completed
PAY00002,O00002,4609.32,ACH,2024-06-04,completed
PAY00003,O00003,1724.99,Credit Card,2024-09-23,completed
PAY00004,O00004,8901.48,ACH,2024-10-09,completed
PAY00005,O00005,3567.68,Invoice,2024-11-24,failed
PAY00006,O00006,5412.45,Wire Transfer,2024-11-08,failed
PAY00007,O00007,3554.04,PayPal,2024-11-25,failed
PAY00008,O00008,2057.72,ACH,2024-11-25,completed
PAY00009,O00009,3106.54,Wire Transfer,2024-06-06,completed
PAY00010,O00010,6916.24,Credit Card,2024-12-20,completed
PAY00011,O00011,2471.25,ACH,2024-11-06,failed
PAY00012,O00012,1826.46,Invoice,2024-03-07,completed
PAY00013,O00013,402.94,Wire Transfer,2024-03-06,completed
PAY00014,O00014,1430.22,Invoice,2024-07-16,completed
PAY00015,O00015,4029.4,Wire Transfer,2024-06-10,completed
PAY00016,O00016,4942.5,Credit Card,2024-06-09,completed
PAY00017,O00017,3236.68,PayPal,2024-05-03,completed
PAY00018,O00018,2951.21,PayPal,2024-12-03,completed
PAY00019,O00019,7313.63,Wire Transfer,2024-05-18,completed
PAY00020,O00020,5989.62,Credit Card,2024-10-19,pending
PAY00021,O00021,3665.82,PayPal,2024-08-19,completed
PAY00022,O00022,3602.77,Credit Card,2024-02-22,pending
PAY00023,O00023,39746.6,Wire Transfer,2024-03-17,completed
PAY00024,O00024,2837.19,ACH,2024-03-11,completed
PAY00025,O00025,2471.25,Invoice,2024-09-20,failed
PAY00026,O00026,1623.74,Invoice,2024-11-11,completed
PAY00027,O00027,8091.7,Credit Card,2024-10-01,completed
PAY00028,O00028,3948.93,Credit Card,2024-12-10,completed
PAY00029,O00029,3222.41,Credit Card,2024-09-01,completed
PAY00030,O00030,977.42,Credit Card,2024-01-29,pending
PAY00031,O00031,10808.31,Invoice,2024-07-14,failed
PAY00032,O00032,10288.6,ACH,2024-02-27,completed
PAY00033,O00033,2577.92,Invoice,2024-04-15,completed
PAY00034,O00034,5047.83,PayPal,2024-09-23,completed
PAY00035,O00035,3642.62,Invoice,2024-06-10,completed
PAY00036,O00036,1331.28,Credit Card,2024-12-15,completed
PAY00037,O00037,4838.69,ACH,2024-04-08,completed
PAY00038,O00038,22524.12,ACH,2024-06-01,pending
PAY00039,O00039,685.0,Credit Card,2024-10-14,completed
PAY00040,O00040,1475.61,Invoice,2024-12-13,completed
PAY00041,O00041,2029.4,Invoice,2024-03-18,pending
PAY00042,O00042,2029.4,Credit Card,2024-12-04,pending
PAY00043,O00043,3389.3,ACH,2024-10-14,completed
PAY00044,O00044,152.59,Wire Transfer,2024-01-27,completed
PAY00045,O00045,2502.68,Wire Transfer,2024-08-02,failed
PAY00046,O00046,49057.6,ACH,2024-03-21,failed
PAY00047,O00047,6829.92,Invoice,2024-05-30,completed
PAY00048,O00048,3136.01,ACH,2024-09-30,completed
PAY00049,O00049,2855.42,Invoice,2024-04-03,pending
PAY00050,O00050,396.36,ACH,2024-05-30,completed
PAY00051,O00051,4024.19,Wire Transfer,2024-06-23,refunded
PAY00052,O00052,4631.79,PayPal,2024-03-12,completed
PAY00053,O00053,2189.43,PayPal,2024-08-22,completed
PAY00054,O00054,2107.86,ACH,2024-10-17,completed
PAY00055,O00055,15306.45,ACH,2024-08-09,completed
PAY00056,O00056,16796.6,Credit Card,2024-09-03,completed
PAY00057,O00057,1503.12,Wire Transfer,2024-05-16,completed
PAY00058,O00058,4660.47,Invoice,2024-07-05,pending
PAY00059,O00059,2347.69,Credit Card,2024-07-28,refunded
PAY00060,O00060,4609.32,ACH,2024-05-31,completed
PAY00061,O00061,2276.64,Invoice,2024-11-08,completed
PAY00062,O00062,16054.56,Invoice,2024-04-24,completed
PAY00063,O00063,4210.51,Invoice,2024-09-28,completed
PAY00064,O00064,1958.96,Wire Transfer,2024-10-07,completed
PAY00065,O00065,1288.96,Wire Transfer,2024-09-24,completed
PAY00066,O00066,466.31,Wire Transfer,2024-09-18,completed
PAY00067,O00067,3236.68,Credit Card,2024-10-15,completed
PAY00068,O00068,3554.04,Credit Card,2024-01-03,pending
PAY00069,O00069,2384.73,Wire Transfer,2024-02-02,pending
PAY00070,O00070,2276.64,Wire Transfer,2024-07-30,completed
PAY00071,O00071,13937.84,ACH,2024-07-11,failed
PAY00072,O00072,1597.07,Credit Card,2024-12-07,pending
PAY00073,O00073,2304.66,Invoice,2024-10-03,completed
PAY00074,O00074,14717.28,Invoice,2024-06-04,completed
PAY00075,O00075,3567.68,Wire Transfer,2024-04-29,completed
PAY00076,O00076,44507.4,PayPal,2024-02-29,pending
PAY00077,O00077,3948.93,PayPal,2024-02-07,completed
PAY00078,O00078,1682.61,PayPal,2024-01-24,completed
PAY00079,O00079,1682.61,PayPal,2024-05-28,completed
PAY00080,O00080,725.29,Wire Transfer,2024-12-13,completed
PAY00081,O00081,2724.58,Credit Card,2024-06-03,completed
PAY00082,O00082,3191.35,Wire Transfer,2024-08-06,completed
PAY00083,O00083,5226.69,Credit Card,2024-09-28,pending
PAY00084,O00084,3458.12,Wire Transfer,2024-10-04,completed
PAY00085,O00085,6122.56,ACH,2024-02-02,failed
PAY00086,O00086,2724.58,Invoice,2024-05-06,completed
PAY00087,O00087,6322.35,PayPal,2024-02-17,completed
PAY00088,O00088,1545.09,Credit Card,2024-11-06,pending
PAY00089,O00089,481.86,Wire Transfer,2024-10-16,completed
PAY00090,O00090,34581.2,PayPal,2024-01-08,completed
PAY00091,O00091,21628.08,Wire Transfer,2024-12-22,completed
PAY00092,O00092,3974.66,Wire Transfer,2024-05-27,completed
PAY00093,O00093,2939.4,Wire Transfer,2024-09-19,completed
PAY00094,O00094,4029.4,PayPal,2024-07-10,completed
PAY00095,O00095,1095.62,Invoice,2024-10-13,completed
PAY00096,O00096,1553.27,Wire Transfer,2024-06-18,completed
PAY00097,O00097,932.62,Invoice,2024-12-16,completed
PAY00098,O00098,5226.69,ACH,2024-08-24,completed
PAY00099,O00099,7774.35,Wire Transfer,2024-09-09,pending
PAY00100,O00100,2860.44,Credit Card,2024-02-09,completed
PAY00101,O00101,1270.56,ACH,2024-11-19,completed
PAY00102,O00102,3903.22,Wire Transfer,2024-07-11,completed
PAY00103,O00103,6829.92,PayPal,2024-01-11,completed
PAY00104,O00104,7502.97,Credit Card,2024-05-23,completed
PAY00105,O00105,12551.2,Invoice,2024-04-03,pending
PAY00106,O00106,4011.7,Credit Card,2024-09-28,completed
PAY00107,O00107,2339.17,PayPal,2024-07-26,completed
PAY00108,O00108,9855.64,Invoice,2024-02-11,completed
PAY00109,O00109,4444.42,ACH,2024-07-14,completed
PAY00110,O00110,1713.94,Wire Transfer,2024-08-10,completed
PAY00111,O00111,27245.8,Invoice,2024-04-27,completed
PAY00112,O00112,2162.81,Invoice,2024-02-11,completed
PAY00113,O00113,2623.59,Credit Card,2024-04-02,completed
PAY00114,O00114,144.56,PayPal,2024-12-30,refunded
PAY00115,O00115,3247.47,ACH,2024-10-20,pending
PAY00116,O00116,665.64,PayPal,2024-03-15,completed
PAY00117,O00117,4855.02,PayPal,2024-06-27,pending
PAY00118,O00118,1183.36,PayPal,2024-11-12,completed
PAY00119,O00119,7897.86,PayPal,2024-08-19,completed
PAY00120,O00120,2384.73,Wire Transfer,2024-10-28,completed
PAY00121,O00121,4659.81,PayPal,2025-01-01,completed
PAY00122,O00122,3222.41,ACH,2024-07-19,failed
PAY00123,O00123,6916.24,ACH,2024-05-21,completed
PAY00124,O00124,2662.04,PayPal,2024-09-22,completed
PAY00125,O00125,3577.19,PayPal,2024-11-03,completed
PAY00126,O00126,2795.89,Wire Transfer,2024-02-15,completed
PAY00127,O00127,2057.72,PayPal,2024-12-19,pending
PAY00128,O00128,3252.82,PayPal,2024-02-05,completed
PAY00129,O00129,6829.92,ACH,2024-07-06,failed
PAY00130,O00130,932.62,Wire Transfer,2024-04-13,completed
PAY00131,O00131,2661.41,Wire Transfer,2024-11-14,completed
PAY00132,O00132,1183.36,Invoice,2024-11-30,completed
PAY00133,O00133,40241.9,PayPal,2024-04-14,completed
PAY00134,O00134,382.79,ACH,2024-12-23,failed
PAY00135,O00135,402.94,Wire Transfer,2024-07-23,refunded
PAY00136,O00136,1525.89,ACH,2024-04-05,completed
PAY00137,O00137,3512.9,Credit Card,2024-06-01,pending
PAY00138,O00138,466.31,Invoice,2024-06-06,completed
PAY00139,O00139,1878.9,Invoice,2024-11-05,pending
PAY00140,O00140,2287.01,Credit Card,2024-07-06,completed
PAY00141,O00141,29001.69,Invoice,2024-02-28,completed
PAY00142,O00142,3427.89,Invoice,2024-01-25,completed
PAY00143,O00143,21291.28,Invoice,2024-06-21,completed
PAY00144,O00144,3656.82,Wire Transfer,2024-09-19,completed
PAY00145,O00145,5005.36,Wire Transfer,2024-07-22,completed
PAY00146,O00146,1288.96,PayPal,2024-01-14,pending
PAY00147,O00147,11523.3,Credit Card,2024-03-13,completed
PAY00148,O00148,5449.16,Credit Card,2024-08-31,completed
PAY00149,O00149,362.65,ACH,2024-01-23,completed
PAY00150,O00150,1480.9,ACH,2024-03-27,pending
PAY00151,O00151,3191.35,Wire Transfer,2024-06-19,refunded
PAY00152,O00152,5056.68,ACH,2024-04-05,completed
PAY00153,O00153,17113.16,Invoice,2024-08-20,completed
PAY00154,O00154,1756.45,PayPal,2024-12-29,pending
PAY00155,O00155,3567.68,ACH,2024-06-16,completed
PAY00156,O00156,25883.51,Wire Transfer,2024-06-10,completed
PAY00157,O00157,2189.43,Invoice,2024-08-22,completed
PAY00158,O00158,7205.54,Wire Transfer,2024-12-13,pending
PAY00159,O00159,2304.66,ACH,2024-12-24,completed
PAY00160,O00160,5182.9,Credit Card,2024-08-05,completed
PAY00161,O00161,3359.32,PayPal,2024-09-08,completed
PAY00162,O00162,2882.22,Wire Transfer,2024-07-02,completed
PAY00163,O00163,17849.55,PayPal,2024-09-18,pending
PAY00164,O00164,3811.68,Invoice,2024-08-15,completed
PAY00165,O00165,2502.68,PayPal,2024-05-22,completed
PAY00166,O00166,2932.25,PayPal,2024-09-11,completed
PAY00167,O00167,4635.27,Invoice,2024-07-09,pending
PAY00168,O00168,3567.68,Credit Card,2024-08-07,completed
PAY00169,O00169,17290.6,Wire Transfer,2024-01-17,pending
PAY00170,O00170,5989.59,PayPal,2024-03-03,completed
PAY00171,O00171,963.97,Wire Transfer,2024-11-08,pending
PAY00172,O00172,9270.15,ACH,2024-02-02,failed
PAY00173,O00173,3567.68,ACH,2024-12-26,completed
PAY00174,O00174,3453.66,Invoice,2024-07-29,failed
PAY00175,O00175,7774.35,Wire Transfer,2024-03-11,pending
PAY00176,O00176,5056.68,Wire Transfer,2024-10-24,completed
PAY00177,O00177,1331.02,PayPal,2024-02-17,completed
PAY00178,O00178,23476.88,Credit Card,2024-06-17,completed
PAY00179,O00179,4942.5,ACH,2024-12-25,completed
PAY00180,O00180,2395.27,ACH,2024-08-10,completed
PAY00181,O00181,1553.27,Credit Card,2024-10-25,completed
PAY00182,O00182,1514.35,Wire Transfer,2024-11-16,completed
PAY00183,O00183,2886.64,Invoice,2024-01-01,pending
PAY00184,O00184,1742.23,Wire Transfer,2024-05-23,completed
PAY00185,O00185,5551.92,PayPal,2024-12-01,pending
PAY00186,O00186,4504.82,PayPal,2024-02-18,completed
PAY00187,O00187,3869.47,PayPal,2024-04-28,completed
PAY00188,O00188,3513.1,ACH,2024-08-05,completed
PAY00189,O00189,1878.9,PayPal,2024-02-23,completed
PAY00190,O00190,2461.88,PayPal,2024-03-09,completed
PAY00191,O00191,5176.7,ACH,2024-11-08,pending
PAY00192,O00192,9183.87,Credit Card,2024-07-29,pending
PAY00193,O00193,10526.26,Wire Transfer,2024-03-12,pending
PAY00194,O00194,1826.46,Credit Card,2024-06-12,completed
PAY00195,O00195,2222.21,Credit Card,2024-11-04,completed
PAY00196,O00196,3285.21,Credit Card,2024-11-06,pending
PAY00197,O00197,1742.23,Invoice,2024-05-04,completed
PAY00198,O00198,5478.1,ACH,2024-09-30,completed
PAY00199,O00199,402.94,Invoice,2024-10-18,completed
PAY00200,O00200,22766.4,Wire Transfer,2024-02-08,completed
PAY00201,O00201,1658.87,Wire Transfer,2024-01-31,pending
PAY00202,O00202,9667.23,Credit Card,2024-07-31,completed
PAY00203,O00203,7135.36,Wire Transfer,2024-03-20,completed
PAY00204,O00204,18540.3,PayPal,2024-03-20,completed
PAY00205,O00205,5226.69,PayPal,2024-02-04,completed
PAY00206,O00206,1682.61,Invoice,2024-08-13,pending
PAY00207,O00207,9336.92,ACH,2024-12-05,completed
PAY00208,O00208,4660.47,PayPal,2024-06-26,completed
PAY00209,O00209,1623.74,Credit Card,2024-05-17,completed
PAY00210,O00210,3513.1,ACH,2024-05-20,completed
PAY00211,O00211,3061.29,Credit Card,2024-08-22,completed
PAY00212,O00212,1623.74,Wire Transfer,2024-05-10,completed
PAY00213,O00213,7508.04,Wire Transfer,2024-01-04,completed
PAY00214,O00214,5359.13,Invoice,2024-07-17,completed
PAY00215,O00215,17885.97,Wire Transfer,2025-01-02,completed
PAY00216,O00216,8023.4,Wire Transfer,2024-06-14,completed
PAY00217,O00217,4609.32,ACH,2024-01-29,completed
PAY00218,O00218,2262.2,Credit Card,2024-08-26,completed
PAY00219,O00219,402.94,Credit Card,2024-08-23,completed
PAY00220,O00220,10374.36,Credit Card,2024-05-07,completed
PAY00221,O00221,12017.0,Credit Card,2024-10-09,completed
PAY00222,O00222,1270.56,ACH,2024-10-04,failed
PAY00223,O00223,739.6,Invoice,2024-12-04,completed
PAY00224,O00224,4063.13,ACH,2024-05-03,refunded
